Group,charge,Q+,Q-,sigma+,betaVol,HBAcc,HBDonn,Opt.,Excl.
CH2,0,0,0,0,0,0,0,false,false
CH2OH,0,7.735377885994574,21.90036429503665,0.02287185370216263,0,2,1,true,false
H2O,0,12.205969622060909,8.684878665962048,0.00875650192603223,0,2,2,true,false
