Group,charge,Q+,Q-,sigma+,betaVol,HBAcc,HBDonn,Opt.,Excl.
CH2,0,0,0,0,0,0,0,false,false
CH2OH,0,43.95367992494389,35.09114271971454,0.013079199239112804,0,2,1,true,false
H2O,0,44.22475486118345,30.409647049406637,0.013999879332052722,0,2,2,true,false
