Group,charge,Q+,Q-,sigma+,betaVol,HBAcc,HBDonn,Opt.,Excl.
CH2,0,0,0,0,0,0,0,false,false
CH2OH,0,101.94797110965565,67.39038407343165,0.008931323289971984,0,2,1,true,false
H2O,0,104.82567286367679,55.718344147377465,0.00800130133558538,0,2,2,true,false
