Group,charge,Q+,Q-,sigma+,betaVol,HBAcc,HBDonn,Opt.,Excl.
CH2,0,0,0,0,0,0,0,false,false
CH2OH,0,8.88712235592802,9.123617248907433,0.013250201080688567,0,2,1,true,false
H2O,0,21.60244708930388,10.807632843611884,0.011166677620423568,0,2,2,true,false
