Group,charge,Q+,Q-,sigma+,betaVol,HBAcc,HBDonn,Opt.,Excl.
CH2,0,0,0,0,0,0,0,false,false
CH2OH,0,21.413100174608548,35.20085435539319,0.02095560290935192,0,2,1,true,false
H2O,0,21.81842175381757,40.63242379792216,0.020036252987024078,0,2,2,true,false
