Group,charge,Q+,Q-,sigma+,betaVol,HBAcc,HBDonn,Opt.,Excl.
CH2,0,0,0,0,0,0,0,false,false
CH2OH,0,16.365770491875875,13.226666064882183,0.012765898636080556,0,2,1,true,false
H2O,0,33.15832141433058,17.317522289421017,0.009906945755864038,0,2,2,true,false
