Group,charge,Q+,Q-,sigma+,betaVol,HBAcc,HBDonn,Opt.,Excl.
CH2,0,0,0,0,0,0,0,false,false
CH2OH,0,23.65344161718552,31.274602665150375,0.014585845406683496,0,2,1,true,false
H2O,0,44.257409400320356,30.508474404563174,0.011565278391120988,0,2,2,true,false
